Plan,Sub-Title,Pricing,Details
3 Year Core,"Suitable for simple sites, with everything you need included.","You Save 68%Starting at$3.19/moRenews at $9.99/mo SelectYou Save 73%Starting at$2.99/moRenews at $10.99/mo SelectOnly available for3 year, and 1 year terms","['Free domain & SSLFree domain & SSLFree domain & SSLFree SSL', '2 Websites', '100GB SSD', 'Unlimited Bandwidth', '2x Speed & Performance', '10 Email Addresses', 'Security Suite    Free SSLHack &\xa0 Malware ProtectionDDoS ProtectionAutomatic Backups AvailableMonarx Security($19.99 Value)', 'Free SSL', 'Hack &\xa0 Malware Protection', 'DDoS Protection', 'Automatic Backups Available', 'Monarx Security($19.99 Value)', 'Marketing Tools    Website BuilderEmail on Any DeviceFree Advertising CreditsCustomer Management Tools', 'Website Builder', 'Email on Any Device', 'Free Advertising Credits', 'Customer Management Tools', 'Hosting PlusPython, \xa0 Node.JS, \xa0 Ruby and GIT version control.', 'Choice of Data Center LocationIncludes US and EU Locations', 'Live Chat Support from Helpful Humans']"
3 Year Launch,Designed for seamless multi-site management & performance.,You Save 62%Starting at$4.99/moRenews at $12.99/mo SelectYou Save 66%Starting at$4.79/moRenews at $13.99/mo SelectYou Save 0%Starting at$15.99/moRenews at $15.99/mo Select,"['Free domain & SSLFree domain & SSLFree domain & SSLFree SSL', '25 Websites', 'Unlimited NVMe SSD', 'Unlimited Bandwidth', '6x UltraStack Speed & Performance', 'Unlimited Email Addresses', 'Security Suite    Free SSLHack &\xa0 Malware ProtectionDDoS ProtectionAutomatic Backups AvailableMonarx Security($19.99 Value)', 'Free SSL', 'Hack &\xa0 Malware Protection', 'DDoS Protection', 'Automatic Backups Available', 'Monarx Security($19.99 Value)', 'Marketing Tools    Website BuilderEmail on Any DeviceFree Advertising CreditsCustomer Management Tools', 'Website Builder', 'Email on Any Device', 'Free Advertising Credits', 'Customer Management Tools', 'Hosting PlusPython, \xa0 Node.JS, \xa0 Ruby and GIT version control.', 'Choice of Data Center LocationIncludes US and EU Locations', 'Pro Support SLA', 'Live Chat Support from Helpful Humans']"
3 Year Power,Powerful resources perfect for larger sites & managing clients.,You Save 71%Starting at$4.99/moRenews at $16.99/mo SelectYou Save 73%Starting at$4.79/moRenews at $17.99/mo SelectYou Save 20%Starting at$15.99/moRenews at $19.99/mo Select,"['Free domain & SSLFree domain & SSLFree domain & SSLFree SSL', 'Unlimited Websites', 'Unlimited NVMe SSD', 'Unlimited Bandwidth', '12x UltraStack Speed & Performance', 'Unlimited Email Addresses', 'Security Suite    Free SSLHack &\xa0 Malware ProtectionDDoS ProtectionAutomatic Backups AvailableMonarx Security($19.99 Value)', 'Free SSL', 'Hack &\xa0 Malware Protection', 'DDoS Protection', 'Automatic Backups Available', 'Monarx Security($19.99 Value)', 'Marketing Tools    Website BuilderEmail on Any DeviceFree Advertising CreditsCustomer Management Tools', 'Website Builder', 'Email on Any Device', 'Free Advertising Credits', 'Customer Management Tools', 'Advanced Caching', 'Hosting PlusPython, \xa0 Node.JS, \xa0 Ruby and GIT version control.', 'Choice of Data Center LocationIncludes US and EU Locations', 'Pro Support SLA', 'Live Phone and Chat Support from Helpful Humans']"
3 Year Pro,Ideal for high-traffic or eCommerce sites with boosted power.,You Save 54%Starting at$10.99/moRenews at $23.99/mo SelectYou Save 57%Starting at$10.79/moRenews at $24.99/mo SelectYou Save 26%Starting at$19.99/moRenews at $26.99/mo Select,"['Free domain & SSLFree domain & SSLFree domain & SSLFree SSL', 'Unlimited Websites', 'Unlimited NVMe SSD', 'Unlimited Bandwidth', '20x UltraStack Speed & Performance', 'Unlimited Email Addresses', 'Security Suite    Free SSLHack &\xa0 Malware ProtectionDDoS ProtectionAutomatic Backups AvailableMonarx Security($19.99 Value)', 'Free SSL', 'Hack &\xa0 Malware Protection', 'DDoS Protection', 'Automatic Backups Available', 'Monarx Security($19.99 Value)', 'Marketing Tools    Website BuilderEmail on Any DeviceFree Advertising CreditsCustomer Management Tools', 'Website Builder', 'Email on Any Device', 'Free Advertising Credits', 'Customer Management Tools', 'Advanced Caching', 'Hosting PlusPython, \xa0 Node.JS, \xa0 Ruby and GIT version control.', 'Choice of Data Center LocationIncludes US and EU Locations', 'Pro Support SLA', 'Dedicated IP', 'Live Phone and Chat Support from Helpful Humans']"
1 Year Core,"Suitable for simple sites, with everything you need included.","You Save 68%Starting at$3.19/moRenews at $9.99/mo SelectYou Save 73%Starting at$2.99/moRenews at $10.99/mo SelectOnly available for3 year, and 1 year terms","['Free domain & SSLFree domain & SSLFree domain & SSLFree SSL', '2 Websites', '100GB SSD', 'Unlimited Bandwidth', '2x Speed & Performance', '10 Email Addresses', 'Security Suite    Free SSLHack &\xa0 Malware ProtectionDDoS ProtectionAutomatic Backups AvailableMonarx Security($19.99 Value)', 'Free SSL', 'Hack &\xa0 Malware Protection', 'DDoS Protection', 'Automatic Backups Available', 'Monarx Security($19.99 Value)', 'Marketing Tools    Website BuilderEmail on Any DeviceFree Advertising CreditsCustomer Management Tools', 'Website Builder', 'Email on Any Device', 'Free Advertising Credits', 'Customer Management Tools', 'Hosting PlusPython, \xa0 Node.JS, \xa0 Ruby and GIT version control.', 'Choice of Data Center LocationIncludes US and EU Locations', 'Live Chat Support from Helpful Humans']"
1 Year Launch,Designed for seamless multi-site management & performance.,You Save 62%Starting at$4.99/moRenews at $12.99/mo SelectYou Save 66%Starting at$4.79/moRenews at $13.99/mo SelectYou Save 0%Starting at$15.99/moRenews at $15.99/mo Select,"['Free domain & SSLFree domain & SSLFree domain & SSLFree SSL', '25 Websites', 'Unlimited NVMe SSD', 'Unlimited Bandwidth', '6x UltraStack Speed & Performance', 'Unlimited Email Addresses', 'Security Suite    Free SSLHack &\xa0 Malware ProtectionDDoS ProtectionAutomatic Backups AvailableMonarx Security($19.99 Value)', 'Free SSL', 'Hack &\xa0 Malware Protection', 'DDoS Protection', 'Automatic Backups Available', 'Monarx Security($19.99 Value)', 'Marketing Tools    Website BuilderEmail on Any DeviceFree Advertising CreditsCustomer Management Tools', 'Website Builder', 'Email on Any Device', 'Free Advertising Credits', 'Customer Management Tools', 'Hosting PlusPython, \xa0 Node.JS, \xa0 Ruby and GIT version control.', 'Choice of Data Center LocationIncludes US and EU Locations', 'Pro Support SLA', 'Live Chat Support from Helpful Humans']"
1 Year Power,Powerful resources perfect for larger sites & managing clients.,You Save 71%Starting at$4.99/moRenews at $16.99/mo SelectYou Save 73%Starting at$4.79/moRenews at $17.99/mo SelectYou Save 20%Starting at$15.99/moRenews at $19.99/mo Select,"['Free domain & SSLFree domain & SSLFree domain & SSLFree SSL', 'Unlimited Websites', 'Unlimited NVMe SSD', 'Unlimited Bandwidth', '12x UltraStack Speed & Performance', 'Unlimited Email Addresses', 'Security Suite    Free SSLHack &\xa0 Malware ProtectionDDoS ProtectionAutomatic Backups AvailableMonarx Security($19.99 Value)', 'Free SSL', 'Hack &\xa0 Malware Protection', 'DDoS Protection', 'Automatic Backups Available', 'Monarx Security($19.99 Value)', 'Marketing Tools    Website BuilderEmail on Any DeviceFree Advertising CreditsCustomer Management Tools', 'Website Builder', 'Email on Any Device', 'Free Advertising Credits', 'Customer Management Tools', 'Advanced Caching', 'Hosting PlusPython, \xa0 Node.JS, \xa0 Ruby and GIT version control.', 'Choice of Data Center LocationIncludes US and EU Locations', 'Pro Support SLA', 'Live Phone and Chat Support from Helpful Humans']"
1 Year Pro,Ideal for high-traffic or eCommerce sites with boosted power.,You Save 54%Starting at$10.99/moRenews at $23.99/mo SelectYou Save 57%Starting at$10.79/moRenews at $24.99/mo SelectYou Save 26%Starting at$19.99/moRenews at $26.99/mo Select,"['Free domain & SSLFree domain & SSLFree domain & SSLFree SSL', 'Unlimited Websites', 'Unlimited NVMe SSD', 'Unlimited Bandwidth', '20x UltraStack Speed & Performance', 'Unlimited Email Addresses', 'Security Suite    Free SSLHack &\xa0 Malware ProtectionDDoS ProtectionAutomatic Backups AvailableMonarx Security($19.99 Value)', 'Free SSL', 'Hack &\xa0 Malware Protection', 'DDoS Protection', 'Automatic Backups Available', 'Monarx Security($19.99 Value)', 'Marketing Tools    Website BuilderEmail on Any DeviceFree Advertising CreditsCustomer Management Tools', 'Website Builder', 'Email on Any Device', 'Free Advertising Credits', 'Customer Management Tools', 'Advanced Caching', 'Hosting PlusPython, \xa0 Node.JS, \xa0 Ruby and GIT version control.', 'Choice of Data Center LocationIncludes US and EU Locations', 'Pro Support SLA', 'Dedicated IP', 'Live Phone and Chat Support from Helpful Humans']"
1 Month Core,"Suitable for simple sites, with everything you need included.","You Save 68%Starting at$3.19/moRenews at $9.99/mo SelectYou Save 73%Starting at$2.99/moRenews at $10.99/mo SelectOnly available for3 year, and 1 year terms","['Free domain & SSLFree domain & SSLFree domain & SSLFree SSL', '2 Websites', '100GB SSD', 'Unlimited Bandwidth', '2x Speed & Performance', '10 Email Addresses', 'Security Suite    Free SSLHack &\xa0 Malware ProtectionDDoS ProtectionAutomatic Backups AvailableMonarx Security($19.99 Value)', 'Free SSL', 'Hack &\xa0 Malware Protection', 'DDoS Protection', 'Automatic Backups Available', 'Monarx Security($19.99 Value)', 'Marketing Tools    Website BuilderEmail on Any DeviceFree Advertising CreditsCustomer Management Tools', 'Website Builder', 'Email on Any Device', 'Free Advertising Credits', 'Customer Management Tools', 'Hosting PlusPython, \xa0 Node.JS, \xa0 Ruby and GIT version control.', 'Choice of Data Center LocationIncludes US and EU Locations', 'Live Chat Support from Helpful Humans']"
1 Month Launch,Designed for seamless multi-site management & performance.,You Save 62%Starting at$4.99/moRenews at $12.99/mo SelectYou Save 66%Starting at$4.79/moRenews at $13.99/mo SelectYou Save 0%Starting at$15.99/moRenews at $15.99/mo Select,"['Free domain & SSLFree domain & SSLFree domain & SSLFree SSL', '25 Websites', 'Unlimited NVMe SSD', 'Unlimited Bandwidth', '6x UltraStack Speed & Performance', 'Unlimited Email Addresses', 'Security Suite    Free SSLHack &\xa0 Malware ProtectionDDoS ProtectionAutomatic Backups AvailableMonarx Security($19.99 Value)', 'Free SSL', 'Hack &\xa0 Malware Protection', 'DDoS Protection', 'Automatic Backups Available', 'Monarx Security($19.99 Value)', 'Marketing Tools    Website BuilderEmail on Any DeviceFree Advertising CreditsCustomer Management Tools', 'Website Builder', 'Email on Any Device', 'Free Advertising Credits', 'Customer Management Tools', 'Hosting PlusPython, \xa0 Node.JS, \xa0 Ruby and GIT version control.', 'Choice of Data Center LocationIncludes US and EU Locations', 'Pro Support SLA', 'Live Chat Support from Helpful Humans']"
1 Month Power,Powerful resources perfect for larger sites & managing clients.,You Save 71%Starting at$4.99/moRenews at $16.99/mo SelectYou Save 73%Starting at$4.79/moRenews at $17.99/mo SelectYou Save 20%Starting at$15.99/moRenews at $19.99/mo Select,"['Free domain & SSLFree domain & SSLFree domain & SSLFree SSL', 'Unlimited Websites', 'Unlimited NVMe SSD', 'Unlimited Bandwidth', '12x UltraStack Speed & Performance', 'Unlimited Email Addresses', 'Security Suite    Free SSLHack &\xa0 Malware ProtectionDDoS ProtectionAutomatic Backups AvailableMonarx Security($19.99 Value)', 'Free SSL', 'Hack &\xa0 Malware Protection', 'DDoS Protection', 'Automatic Backups Available', 'Monarx Security($19.99 Value)', 'Marketing Tools    Website BuilderEmail on Any DeviceFree Advertising CreditsCustomer Management Tools', 'Website Builder', 'Email on Any Device', 'Free Advertising Credits', 'Customer Management Tools', 'Advanced Caching', 'Hosting PlusPython, \xa0 Node.JS, \xa0 Ruby and GIT version control.', 'Choice of Data Center LocationIncludes US and EU Locations', 'Pro Support SLA', 'Live Phone and Chat Support from Helpful Humans']"
1 Month Pro,Ideal for high-traffic or eCommerce sites with boosted power.,You Save 54%Starting at$10.99/moRenews at $23.99/mo SelectYou Save 57%Starting at$10.79/moRenews at $24.99/mo SelectYou Save 26%Starting at$19.99/moRenews at $26.99/mo Select,"['Free domain & SSLFree domain & SSLFree domain & SSLFree SSL', 'Unlimited Websites', 'Unlimited NVMe SSD', 'Unlimited Bandwidth', '20x UltraStack Speed & Performance', 'Unlimited Email Addresses', 'Security Suite    Free SSLHack &\xa0 Malware ProtectionDDoS ProtectionAutomatic Backups AvailableMonarx Security($19.99 Value)', 'Free SSL', 'Hack &\xa0 Malware Protection', 'DDoS Protection', 'Automatic Backups Available', 'Monarx Security($19.99 Value)', 'Marketing Tools    Website BuilderEmail on Any DeviceFree Advertising CreditsCustomer Management Tools', 'Website Builder', 'Email on Any Device', 'Free Advertising Credits', 'Customer Management Tools', 'Advanced Caching', 'Hosting PlusPython, \xa0 Node.JS, \xa0 Ruby and GIT version control.', 'Choice of Data Center LocationIncludes US and EU Locations', 'Pro Support SLA', 'Dedicated IP', 'Live Phone and Chat Support from Helpful Humans']"
